method,split,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate
real_only,train,city1_i01,city_1,4way,balanced,medium,15928.1998,273.151,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,train,city1_i01,city_1,4way,balanced,medium,22837.4267,378.3232,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,train,city1_i01,city_1,4way,balanced,medium,17644.3318,298.8946,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,train,city1_i01,city_1,4way,balanced,medium,15435.0679,266.6776,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,train,city1_i01,city_1,4way,balanced,medium,13591.9877,229.6468,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i01,city_1,4way,balanced,medium,10700.6964,187.9083,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,train,city1_i02,city_1,4way,balanced,medium,16055.2558,274.2334,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,train,city1_i02,city_1,4way,balanced,medium,22661.2192,376.8673,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,train,city1_i02,city_1,4way,balanced,medium,17703.5601,299.3925,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,train,city1_i02,city_1,4way,balanced,medium,15444.4724,266.7587,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,train,city1_i02,city_1,4way,balanced,medium,13302.0148,227.1896,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i02,city_1,4way,balanced,medium,10470.8318,185.8853,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,train,city1_i03,city_1,4way,mild_imbalance,medium,16272.1373,276.4189,0.7257,23242.5752,0.7335,160.9965,0.1725
default_sim,train,city1_i03,city_1,4way,mild_imbalance,medium,22782.6845,377.3198,0.5654,22553.8978,0.806,181.3541,0.2392
calibrated_sim,train,city1_i03,city_1,4way,mild_imbalance,medium,17659.5848,299.0894,0.6927,23173.7074,0.7541,167.1572,0.1882
calibrated_sim_plus_domain_randomization,train,city1_i03,city_1,4way,mild_imbalance,medium,15667.8359,268.974,0.7611,23449.1784,0.7141,158.3939,0.1613
calibrated_sim_plus_opm,train,city1_i03,city_1,4way,mild_imbalance,medium,13494.7049,229.2357,0.8173,23609.8698,0.7062,155.5543,0.1167
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i03,city_1,4way,mild_imbalance,medium,10629.2364,187.9095,0.8798,24000.1203,0.6674,146.0811,0.083
real_only,train,city1_i04,city_1,4way,mild_imbalance,medium,16151.0293,275.3871,0.7257,23242.5752,0.7335,160.9965,0.1725
default_sim,train,city1_i04,city_1,4way,mild_imbalance,medium,22714.1754,376.7531,0.5654,22553.8978,0.806,181.3541,0.2392
calibrated_sim,train,city1_i04,city_1,4way,mild_imbalance,medium,17642.073,298.9421,0.6927,23173.7074,0.7541,167.1572,0.1882
calibrated_sim_plus_domain_randomization,train,city1_i04,city_1,4way,mild_imbalance,medium,15528.742,267.7744,0.7611,23449.1784,0.7141,158.3939,0.1613
calibrated_sim_plus_opm,train,city1_i04,city_1,4way,mild_imbalance,medium,13489.0893,229.188,0.8173,23609.8698,0.7062,155.5543,0.1167
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i04,city_1,4way,mild_imbalance,medium,10835.667,189.7257,0.8798,24000.1203,0.6674,146.0811,0.083
real_only,train,city1_i05,city_1,4way,severe_imbalance,high,16332.5998,279.649,0.7252,21837.6619,0.9809,215.4944,0.1756
default_sim,train,city1_i05,city_1,4way,severe_imbalance,high,23481.6228,385.5099,0.563,21212.7554,1.0725,241.3234,0.24
calibrated_sim,train,city1_i05,city_1,4way,severe_imbalance,high,18011.0343,304.8613,0.6915,21775.1712,1.0093,223.7909,0.1917
calibrated_sim_plus_domain_randomization,train,city1_i05,city_1,4way,severe_imbalance,high,15810.3471,273.1011,0.7603,22025.1338,0.9568,212.2973,0.1651
calibrated_sim_plus_opm,train,city1_i05,city_1,4way,severe_imbalance,high,13863.3651,236.1666,0.8164,22170.9453,0.9471,208.7679,0.1225
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i05,city_1,4way,severe_imbalance,high,11129.6192,196.2703,0.8792,22525.059,0.8962,196.3919,0.0894
real_only,train,city1_i06,city_1,4way,balanced,medium,16020.2201,273.9349,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,train,city1_i06,city_1,4way,balanced,medium,23318.5615,382.2985,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,train,city1_i06,city_1,4way,balanced,medium,17694.9852,299.3204,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,train,city1_i06,city_1,4way,balanced,medium,15378.5554,266.1902,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,train,city1_i06,city_1,4way,balanced,medium,13522.5359,229.0583,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i06,city_1,4way,balanced,medium,10630.607,187.2915,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,train,city1_i07,city_1,3way,mild_imbalance,medium,8732.698,148.3356,0.7275,13323.7692,0.0934,20.4868,0.171
default_sim,train,city1_i07,city_1,3way,mild_imbalance,medium,12025.034,199.5497,0.5739,12928.986,0.1029,22.9889,0.2322
calibrated_sim,train,city1_i07,city_1,3way,mild_imbalance,medium,9585.5,160.9446,0.6969,13284.2909,0.0956,21.1924,0.1847
calibrated_sim_plus_domain_randomization,train,city1_i07,city_1,3way,mild_imbalance,medium,8346.1835,143.6342,0.7637,13442.2042,0.0907,20.1259,0.1591
calibrated_sim_plus_opm,train,city1_i07,city_1,3way,mild_imbalance,medium,7227.1887,122.517,0.8207,13534.3202,0.0896,19.7406,0.1139
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i07,city_1,3way,mild_imbalance,medium,5692.5586,100.6126,0.8817,13758.0307,0.0849,18.5778,0.0814
real_only,train,city1_i08,city_1,3way,balanced,low,1153.4383,19.7901,0.7284,13339.0494,0.0568,12.4545,0.1687
default_sim,train,city1_i08,city_1,3way,balanced,low,1596.9103,26.6902,0.5782,12935.9315,0.0628,13.9349,0.2279
calibrated_sim,train,city1_i08,city_1,3way,balanced,low,1255.0703,21.3631,0.6991,13298.7376,0.058,12.8651,0.1815
calibrated_sim_plus_domain_randomization,train,city1_i08,city_1,3way,balanced,low,1120.4266,19.3002,0.7651,13459.9847,0.0551,12.219,0.1561
calibrated_sim_plus_opm,train,city1_i08,city_1,3way,balanced,low,941.3113,16.1489,0.8224,13554.0455,0.0543,11.9703,0.1096
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i08,city_1,3way,balanced,low,758.2713,13.3857,0.8827,13782.479,0.0515,11.2621,0.0771
real_only,train,city1_i09,city_1,4way,balanced,medium,16239.1208,275.7997,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,train,city1_i09,city_1,4way,balanced,medium,22652.9223,376.7987,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,train,city1_i09,city_1,4way,balanced,medium,18126.1729,302.9447,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,train,city1_i09,city_1,4way,balanced,medium,15714.9042,269.0907,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,train,city1_i09,city_1,4way,balanced,medium,13587.671,229.6102,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i09,city_1,4way,balanced,medium,10821.6261,188.9726,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,train,city1_i10,city_1,4way,severe_imbalance,high,16266.3645,279.0858,0.7252,21837.6619,0.9809,215.4944,0.1756
default_sim,train,city1_i10,city_1,4way,severe_imbalance,high,23435.6316,385.1304,0.563,21212.7554,1.0725,241.3234,0.24
calibrated_sim,train,city1_i10,city_1,4way,severe_imbalance,high,18527.029,309.192,0.6915,21775.1712,1.0093,223.7909,0.1917
calibrated_sim_plus_domain_randomization,train,city1_i10,city_1,4way,severe_imbalance,high,15828.6636,273.2586,0.7603,22025.1338,0.9568,212.2973,0.1651
calibrated_sim_plus_opm,train,city1_i10,city_1,4way,severe_imbalance,high,13926.6471,236.7016,0.8164,22170.9453,0.9471,208.7679,0.1225
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i10,city_1,4way,severe_imbalance,high,11099.7584,196.009,0.8792,22525.059,0.8962,196.3919,0.0894
real_only,train,city1_i11,city_1,3way,mild_imbalance,medium,8802.3805,148.9304,0.7275,13323.7692,0.0934,20.4868,0.171
default_sim,train,city1_i11,city_1,3way,mild_imbalance,medium,11820.3835,197.8475,0.5739,12928.986,0.1029,22.9889,0.2322
calibrated_sim,train,city1_i11,city_1,3way,mild_imbalance,medium,9628.7395,161.3097,0.6969,13284.2909,0.0956,21.1924,0.1847
calibrated_sim_plus_domain_randomization,train,city1_i11,city_1,3way,mild_imbalance,medium,8348.7444,143.6564,0.7637,13442.2042,0.0907,20.1259,0.1591
calibrated_sim_plus_opm,train,city1_i11,city_1,3way,mild_imbalance,medium,7085.4238,121.3101,0.8207,13534.3202,0.0896,19.7406,0.1139
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i11,city_1,3way,mild_imbalance,medium,5769.8795,101.2951,0.8817,13758.0307,0.0849,18.5778,0.0814
real_only,train,city1_i12,city_1,4way,balanced,medium,16262.9785,276.0029,0.7253,25889.0913,0.619,135.8292,0.1722
default_sim,train,city1_i12,city_1,4way,balanced,medium,22807.6452,378.0771,0.5633,25116.1324,0.6803,153.0744,0.24
calibrated_sim,train,city1_i12,city_1,4way,balanced,medium,18121.5725,302.906,0.6916,25811.7954,0.6371,141.179,0.1885
calibrated_sim_plus_domain_randomization,train,city1_i12,city_1,4way,balanced,medium,15695.4817,268.9232,0.7604,26120.979,0.6027,133.6532,0.1611
calibrated_sim_plus_opm,train,city1_i12,city_1,4way,balanced,medium,13585.1431,229.5888,0.8165,26301.336,0.5961,131.2678,0.1163
calibrated_sim_plus_domain_randomization_plus_opm,train,city1_i12,city_1,4way,balanced,medium,10636.4033,187.3425,0.8793,26739.3461,0.5628,123.1456,0.0821
real_only,train,city1_i13,city_1,4way,balanced,low,15750.1714,270.8377,0.7253,25907.3981,0.6181,135.5794,0.1712
default_sim,train,city1_i13,city_1,4way,balanced,low,22835.9838,377.9262,0.5633,25124.4537,0.6803,153.0744,0.24
calibrated_sim,train,city1_i13,city_1,4way,balanced,low,17717.0389,298.7784,0.6916,25829.1036,0.6362,140.9604,0.1876
calibrated_sim_plus_domain_randomization,train,city1_i13,city_1,4way,balanced,low,15316.0083,264.8161,0.7604,26142.2814,0.6015,133.3617,0.1599
calibrated_sim_plus_opm,train,city1_i13,city_1,4way,balanced,low,13350.2961,226.4507,0.8165,26324.9684,0.5948,130.9346,0.1145
