method,intersection_id,city,topology,lane_profile,risk_level,overflow_count,overflow_duration_minutes,overflow_switch_success,throughput,stop_frequency,average_delay_seconds,safety_violation_rate,setting,setting_description
default_sim,city1_i01,city_1,4way,balanced,medium,20629.0445,335.3224,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i01,city_1,4way,balanced,medium,9392.9755,162.3055,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i02,city_1,4way,balanced,medium,20469.8764,334.032,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i02,city_1,4way,balanced,medium,9191.2024,160.5582,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i03,city_1,4way,mild_imbalance,medium,20590.0508,334.5761,0.5704,23473.9593,0.7738,170.2295,0.2116,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i03,city_1,4way,mild_imbalance,medium,9339.2099,162.4362,0.8821,25023.1528,0.6353,136.0519,0.0696,V1,lighter vehicle dynamics
default_sim,city1_i04,city_1,4way,mild_imbalance,medium,20528.1351,334.0736,0.5704,23473.9593,0.7738,170.2295,0.2116,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i04,city_1,4way,mild_imbalance,medium,9520.5869,164.0062,0.8821,25023.1528,0.6353,136.0519,0.0696,V1,lighter vehicle dynamics
default_sim,city1_i05,city_1,4way,severe_imbalance,high,21218.6034,341.7958,0.5683,22077.5132,1.0296,226.844,0.2145,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i05,city_1,4way,severe_imbalance,high,9812.0669,170.1414,0.8816,23483.2528,0.8534,182.9633,0.0755,V1,lighter vehicle dynamics
default_sim,city1_i06,city_1,4way,balanced,medium,21063.6535,338.846,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i06,city_1,4way,balanced,medium,9331.4516,161.7727,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i07,city_1,3way,mild_imbalance,medium,10887.5181,177.2137,0.5783,13456.4098,0.0988,21.4836,0.2058,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i07,city_1,3way,mild_imbalance,medium,5004.2065,87.0116,0.8839,14344.4825,0.0808,17.3065,0.0683,V1,lighter vehicle dynamics
default_sim,city1_i08,city_1,3way,balanced,low,1446.9504,23.7177,0.5822,13463.8498,0.0601,13.0278,0.2022,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i08,city_1,3way,balanced,low,665.252,11.5574,0.8848,14370.6715,0.049,10.4904,0.0644,V1,lighter vehicle dynamics
default_sim,city1_i09,city_1,4way,balanced,medium,20462.3817,333.9712,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i09,city_1,4way,balanced,medium,9499.1264,163.2248,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i10,city_1,4way,severe_imbalance,high,21177.0447,341.4593,0.5683,22077.5132,1.0296,226.844,0.2145,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i10,city_1,4way,severe_imbalance,high,9785.741,169.9149,0.8816,23483.2528,0.8534,182.9633,0.0755,V1,lighter vehicle dynamics
default_sim,city1_i11,city_1,3way,mild_imbalance,medium,10702.2267,175.7019,0.5783,13456.4098,0.0988,21.4836,0.2058,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i11,city_1,3way,mild_imbalance,medium,5072.1776,87.6018,0.8839,14344.4825,0.0808,17.3065,0.0683,V1,lighter vehicle dynamics
default_sim,city1_i12,city_1,4way,balanced,medium,20602.1429,335.1043,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i12,city_1,4way,balanced,medium,9336.5396,161.8168,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i13,city_1,4way,balanced,low,20625.145,334.9352,0.5685,26149.7884,0.6531,143.8899,0.2123,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i13,city_1,4way,balanced,low,9103.1803,158.6219,0.8817,27911.0375,0.534,114.2714,0.0667,V1,lighter vehicle dynamics
default_sim,city1_i14,city_1,3way,mild_imbalance,medium,10902.1767,177.3333,0.5783,13456.4098,0.0988,21.4836,0.2058,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i14,city_1,3way,mild_imbalance,medium,5048.2406,87.394,0.8839,14344.4825,0.0808,17.3065,0.0683,V1,lighter vehicle dynamics
default_sim,city1_i15,city_1,4way,balanced,medium,20433.8191,333.7397,0.5685,26140.8746,0.6531,143.8899,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i15,city_1,4way,balanced,medium,9325.9032,161.7247,0.8817,27879.6611,0.5357,114.6746,0.0687,V1,lighter vehicle dynamics
default_sim,city1_i16,city_1,3way,severe_imbalance,high,19120.8023,312.2995,0.5706,13518.369,0.2995,65.9741,0.2128,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i16,city_1,3way,severe_imbalance,high,9111.4011,158.0239,0.8821,14379.123,0.248,53.1632,0.0751,V1,lighter vehicle dynamics
default_sim,city1_i17,city_1,4way,balanced,low,20614.1581,334.8461,0.5685,26149.7884,0.6531,143.8899,0.2123,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i17,city_1,4way,balanced,low,9277.9905,160.1389,0.8817,27911.0375,0.534,114.2714,0.0667,V1,lighter vehicle dynamics
default_sim,city1_i18,city_1,3way,mild_imbalance,medium,10750.667,176.0971,0.5783,13456.4098,0.0988,21.4836,0.2058,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city1_i18,city_1,3way,mild_imbalance,medium,5086.4172,87.7255,0.8839,14344.4825,0.0808,17.3065,0.0683,V1,lighter vehicle dynamics
default_sim,city2_i01,city_2,3way,severe_imbalance,high,19945.3666,321.1934,0.5695,14383.5796,0.3226,71.0671,0.2144,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i01,city_2,3way,severe_imbalance,high,9495.5728,164.0086,0.8819,15278.2291,0.2687,57.6405,0.0788,V1,lighter vehicle dynamics
default_sim,city2_i02,city_2,4way,severe_imbalance,high,20905.8091,339.8901,0.5683,22064.2768,1.0296,226.844,0.2153,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i02,city_2,4way,severe_imbalance,high,10313.4786,176.5356,0.8816,23436.6607,0.8579,184.0795,0.079,V1,lighter vehicle dynamics
default_sim,city2_i03,city_2,4way,mild_imbalance,high,20821.6843,337.4618,0.5704,23451.2714,0.7738,170.4729,0.2129,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i03,city_2,4way,mild_imbalance,high,10015.0467,171.6069,0.8821,24943.2913,0.6408,137.4054,0.0753,V1,lighter vehicle dynamics
default_sim,city2_i04,city_2,3way,mild_imbalance,medium,11012.8045,178.4814,0.5783,13450.4711,0.0988,21.5053,0.2064,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city2_i04,city_2,3way,mild_imbalance,medium,5227.7084,89.7655,0.8839,14323.5782,0.0812,17.3854,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i01,city_3,4way,balanced,medium,20977.9435,338.3624,0.5685,26135.5688,0.6531,143.8899,0.213,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i01,city_3,4way,balanced,medium,9606.2136,164.8486,0.8817,27860.9847,0.5366,114.9146,0.0699,V1,lighter vehicle dynamics
default_sim,city3_i02,city_3,4way,mild_imbalance,medium,20692.823,335.6398,0.5704,23468.7794,0.7738,170.3145,0.2119,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i02,city_3,4way,mild_imbalance,medium,9467.0789,164.303,0.8821,25004.9196,0.6366,136.3609,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i03,city_3,3way,balanced,low,1428.5388,23.5802,0.5822,13461.5005,0.0601,13.0331,0.2024,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i03,city_3,3way,balanced,low,655.5587,11.5165,0.8848,14362.4017,0.0491,10.5095,0.0654,V1,lighter vehicle dynamics
default_sim,city3_i04,city_3,4way,mild_imbalance,medium,20490.6622,333.9994,0.5704,23468.7794,0.7738,170.3145,0.2119,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i04,city_3,4way,mild_imbalance,medium,9545.4428,164.9805,0.8821,25004.9196,0.6366,136.3609,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i05,city_3,4way,severe_imbalance,high,21167.0679,341.6915,0.5683,22070.895,1.0296,226.844,0.2149,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i05,city_3,4way,severe_imbalance,high,10287.4713,175.2699,0.8816,23459.9568,0.8557,183.5214,0.0773,V1,lighter vehicle dynamics
default_sim,city3_i06,city_3,3way,balanced,low,1460.6733,23.8432,0.5822,13461.5005,0.0601,13.0331,0.2024,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i06,city_3,3way,balanced,low,653.7458,11.5007,0.8848,14362.4017,0.0491,10.5095,0.0654,V1,lighter vehicle dynamics
default_sim,city3_i07,city_3,4way,balanced,medium,20856.566,337.3785,0.5685,26135.5688,0.6531,143.8899,0.213,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i07,city_3,4way,balanced,medium,9523.3918,164.1322,0.8817,27860.9847,0.5366,114.9146,0.0699,V1,lighter vehicle dynamics
default_sim,city3_i08,city_3,4way,mild_imbalance,medium,20398.4838,333.2514,0.5704,23468.7794,0.7738,170.3145,0.2119,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i08,city_3,4way,mild_imbalance,medium,9458.2587,164.2268,0.8821,25004.9196,0.6366,136.3609,0.0709,V1,lighter vehicle dynamics
default_sim,city3_i09,city_3,3way,mild_imbalance,medium,10857.3623,177.0906,0.5783,13453.4404,0.0988,21.4945,0.2061,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i09,city_3,3way,mild_imbalance,medium,5148.8499,88.6744,0.8839,14334.0303,0.081,17.3459,0.0696,V1,lighter vehicle dynamics
default_sim,city3_i10,city_3,4way,balanced,medium,20764.2261,336.63,0.5685,26135.5688,0.6531,143.8899,0.213,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i10,city_3,4way,balanced,medium,9319.5494,162.369,0.8817,27860.9847,0.5366,114.9146,0.0699,V1,lighter vehicle dynamics
default_sim,city3_i11,city_3,4way,balanced,low,20937.37,337.6489,0.5685,26145.2254,0.6531,143.8899,0.2125,V1,lighter vehicle dynamics
calibrated_sim_plus_domain_randomization_plus_opm,city3_i11,city_3,4way,balanced,low,9125.6701,159.4171,0.8817,27894.9758,0.5349,114.4778,0.0677,V1,lighter vehicle dynamics
