arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
891.5458,131.7079,110.9078,2720.5338,192.7061,615.1399,616.942,0.3985,973.4844,0.2339,12.9955,1.5212,853.934,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,1,am_peak
894.1592,131.9878,110.9078,2742.435,192.7061,612.0357,611.5073,0.4624,965.0904,0.2324,13.0993,1.5001,859.2735,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,1,midday
899.953,131.0148,110.9078,2775.3347,192.7061,615.0488,620.912,0.4651,972.9812,0.232,13.1183,1.5253,860.9909,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,1,pm_peak
901.4711,130.1987,110.9078,2769.0274,192.7061,616.9816,616.1714,0.4263,957.6183,0.2343,13.057,1.5047,850.916,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,1,evening
897.5863,132.4491,110.9078,2772.0318,192.7061,622.5081,616.9055,0.4757,971.4566,0.2343,12.9778,1.5153,866.8361,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,2,am_peak
900.1669,131.6193,110.9078,2752.9154,192.7061,623.4678,619.2483,0.5025,964.3273,0.2346,13.0799,1.5047,860.6771,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,2,midday
894.7649,131.0719,110.9078,2751.9648,192.7061,612.5201,619.0325,0.4873,955.0371,0.2326,13.0374,1.5118,867.4444,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,2,pm_peak
896.4435,131.306,110.9078,2741.1441,192.7061,619.0067,613.3676,0.4289,972.3905,0.2339,12.8595,1.5269,862.0908,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,2,evening
904.4812,130.0281,110.9078,2747.8564,192.7061,613.4603,611.1833,0.4321,962.8929,0.2368,13.0013,1.4973,852.5784,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,3,am_peak
897.8845,131.9509,110.9078,2754.8639,192.7061,619.1353,622.0334,0.3971,967.4569,0.232,13.0329,1.5219,860.2646,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,3,midday
899.2536,132.3122,110.9078,2776.9072,192.7061,612.3373,619.5591,0.5061,961.4966,0.2359,13.0547,1.509,853.4799,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,3,pm_peak
890.9249,132.3103,110.9078,2743.2917,192.7061,614.5103,616.2285,0.4718,952.1502,0.235,13.074,1.5078,852.1342,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,3,evening
903.8665,129.9853,110.9078,2717.4824,192.7061,618.9891,620.7635,0.4727,963.4212,0.2372,12.901,1.5176,848.2911,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,4,am_peak
903.0636,132.2373,110.9078,2739.3777,192.7061,619.858,618.1636,0.4062,955.5821,0.2339,12.8988,1.4994,859.9005,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,4,midday
904.9671,132.3509,110.9078,2738.6277,192.7061,620.6977,609.9361,0.4479,969.5355,0.2358,12.8537,1.5125,865.7056,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,4,pm_peak
906.6576,131.0864,110.9078,2751.9893,192.7061,618.314,617.2608,0.4286,971.5894,0.2336,13.0368,1.5183,854.5481,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,4,evening
889.9217,130.1795,110.9078,2715.1868,192.7061,615.8128,615.9061,0.4715,968.0696,0.2327,12.9959,1.5319,867.0299,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,5,am_peak
900.1504,131.3024,110.9078,2727.9528,192.7061,620.2865,616.6708,0.4861,969.7402,0.2345,12.8692,1.502,862.0894,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,5,midday
898.1217,131.4148,110.9078,2733.2542,192.7061,623.1359,610.6121,0.4993,962.2164,0.2334,12.8223,1.5098,861.575,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,5,pm_peak
901.7768,130.0396,110.9078,2737.8567,192.7061,611.786,612.5614,0.4254,970.7348,0.233,13.1051,1.5144,852.723,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,5,evening
893.2792,130.8153,110.9078,2742.995,192.7061,615.6065,616.832,0.4716,971.3804,0.2317,12.9169,1.5179,860.0571,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,6,am_peak
904.0272,130.6374,110.9078,2767.4642,192.7061,619.458,623.4797,0.5012,967.1733,0.2326,13.0459,1.521,864.8529,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,6,midday
904.7069,130.2312,110.9078,2738.9259,192.7061,622.407,620.2097,0.4575,962.115,0.2326,12.9139,1.5138,856.385,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,6,pm_peak
906.6089,132.5701,110.9078,2728.6769,192.7061,619.7996,614.489,0.4845,971.1973,0.2371,12.9649,1.4978,866.7067,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,6,evening
899.941,132.3528,110.9078,2752.8322,192.7061,617.2176,616.7207,0.4293,956.3174,0.2357,13.11,1.5176,863.2441,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,am_peak
897.0117,131.3904,110.9078,2733.0622,192.7061,614.7584,610.1798,0.4337,974.2767,0.2366,12.9052,1.4999,863.2732,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,midday
902.1926,130.6654,110.9078,2776.7321,192.7061,624.1824,622.9981,0.459,965.4814,0.2333,12.8442,1.5028,852.1765,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,pm_peak
894.4245,130.5185,110.9078,2749.9662,192.7061,613.7806,617.0107,0.4679,957.1783,0.2327,12.999,1.5109,862.6831,cityflow_calibrated,city1_i01,city_1,City 1,4way,balanced,medium,7,evening
