arrival_demand,average_delay_seconds,average_travel_time,exit_lane_capacity,mean_vehicle_distance,overflow_count,overflow_duration_seconds,phase_switch_timing_error_seconds,queue_length,safety_violation_rate,speed_kmh,stop_frequency,throughput,environment,intersection_id,city,city_label,topology,lane_profile,risk_level,day_index,time_window
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,1,am_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,1,midday
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,1,pm_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,1,evening
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,2,am_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,2,midday
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,2,pm_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,2,evening
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,3,am_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,3,midday
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,3,pm_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,3,evening
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,4,am_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,4,midday
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,4,pm_peak
900.0,74.7037,110.9078,815.0,192.7061,0.0,0.0,0.2401,295.8262,0.22,19.7403,3.6619,815.0,cityflow,city1_i01,city_1,City 1,4way,balanced,medium,4,evening
