perturbation,setting,ordinary_rl_controller,calibrated_sim_controller,full_method
actuation_delay_seconds,0.1,19435.9064,15185.2008,9346.0807
actuation_delay_seconds,0.5,19435.9064,16234.8461,10270.0267
actuation_delay_seconds,1.0,19435.9064,17494.4206,11378.762
capacity_gap,minus_10_percent,19435.9064,15814.988,9900.4483
capacity_gap,minus_20_percent,19435.9064,17074.5624,11009.1836
capacity_gap,minus_30_percent,19435.9064,18334.1368,12117.9188
demand_gap,1.2,19435.9064,15814.988,9900.4483
demand_gap,1.4,19435.9064,17074.5624,11009.1836
demand_gap,1.6,19435.9064,18334.1368,12117.9188
incident_gap,downstream_blockage,19435.9064,18124.2078,11933.1296
incident_gap,temporary_lane_closure,19435.9064,17494.4206,11378.762
sensor_missingness,0.05,19435.9064,15395.1298,9530.8699
sensor_missingness,0.1,19435.9064,16234.8461,10270.0267
sensor_missingness,0.2,19435.9064,17704.3496,11563.5512
sensor_noise,low,19435.9064,15395.1298,9530.8699
sensor_noise,medium,19435.9064,16444.7752,10454.8159
sensor_noise,high,19435.9064,17704.3496,11563.5512
turning_ratio_gap,left_shift,19435.9064,16444.7752,10454.8159
turning_ratio_gap,straight_shift,19435.9064,16024.9171,10085.2375
turning_ratio_gap,right_shift,19435.9064,15814.988,9900.4483
weather_gap,rain,19435.9064,16024.9171,10085.2375
weather_gap,snow,19435.9064,17284.4915,11193.9728
weather_gap,fog,19435.9064,16864.6333,10824.3943
weather_gap,night,19435.9064,16444.7752,10454.8159
